dataset,seed,architecture_id,rotations,entanglement,reps,twoq_count,logical_depth,n_params,train_loss,fit_bacc,val_bacc,test_bacc,test_auc,test_logloss,test_brier
breast_cancer,29,A020,rx+rz,outer_pairs,1,2,4,8,0.30731386080778467,0.9199999999999999,0.8733333333333333,0.9016227180527383,0.9803921568627452,0.2768272627535112,0.07787503354925249
breast_cancer,29,A022,rx+rz,outer_pairs,3,6,10,24,0.291110935387273,0.9116666666666666,0.8833333333333333,0.9286680189317107,0.9817444219066938,0.26125851200736017,0.07219597486735024
breast_cancer,29,A025,rx+rz,left_ladder,2,4,9,16,0.309307648452701,0.9199999999999999,0.8733333333333333,0.9016227180527383,0.9803921568627452,0.2806628611577519,0.0784531369323239
breast_cancer,29,A037,ry+rz,outer_pairs,2,4,7,16,0.2387924062833362,0.8833333333333333,0.8633333333333333,0.8867478025693036,0.9885057471264367,0.2176666936206121,0.06306703625486298
breast_cancer,29,A040,ry+rz,left_ladder,1,2,5,8,0.24711384500959815,0.8983333333333334,0.88,0.9039891818796484,0.982420554428668,0.22838403651456263,0.06362423517705056
breast_cancer,29,A042,ry+rz,left_ladder,3,6,13,24,0.24246169902573328,0.8916666666666666,0.8466666666666667,0.8867478025693036,0.9885057471264368,0.21857842098365268,0.06235989749149069
breast_cancer,29,A045,ry+rz,right_ladder,2,4,9,16,0.2419175937906685,0.8866666666666667,0.88,0.8867478025693036,0.9830966869506423,0.2270325538212549,0.06552077710031994
breast_cancer,29,A047,ry+rz,right_ladder,4,8,17,32,0.2495234918445015,0.8433333333333333,0.8633333333333333,0.8867478025693036,0.9830966869506423,0.23816059335702738,0.07116108874026765
breast_cancer,29,A058,rx+ry+rz,left_ladder,3,6,16,36,0.2697991541023544,0.8783333333333333,0.8466666666666667,0.8867478025693036,0.9770114942528736,0.24467996929860894,0.06948762787610427
breast_cancer,29,A059,rx+ry+rz,left_ladder,4,8,21,48,0.27876445049095266,0.925,0.8833333333333333,0.9114266396213657,0.9817444219066938,0.2550763505062187,0.07034616976904959
breast_cancer,29,A063,rx+ry+rz,right_ladder,4,8,21,48,0.2946178822718622,0.9116666666666666,0.8733333333333333,0.9286680189317107,0.982420554428668,0.26878103739447906,0.07396196241765936
breast_cancer,43,A000,ry,full_chain,1,3,4,4,0.2446984437614687,0.8683333333333334,0.8633333333333333,0.8867478025693036,0.9830966869506423,0.2323544058748097,0.06905227818020182
breast_cancer,43,A003,ry,full_chain,4,12,13,16,0.2905243396507679,0.9033333333333333,0.9133333333333333,0.9212305611899931,0.9945909398242055,0.23859485257741056,0.06139690213708211
breast_cancer,43,A013,ry,right_ladder,2,4,7,8,0.24184997833447022,0.895,0.88,0.8867478025693036,0.9830966869506423,0.2267983239645149,0.06534503863409077
breast_cancer,43,A015,ry,right_ladder,4,8,13,16,0.36555730746437665,0.9083333333333333,0.8233333333333334,0.8968897903989181,0.973630831643002,0.3255039174546567,0.09626862968407982
