dataset,backend,snapshot,architecture_id,entanglement,reps,twoq_count,logical_depth,probability_mae,probability_mae_seed_sd,probability_rmse,delta_logloss,delta_brier,delta_auc,delta_bacc,rotations,N2Q,Depth,E2Q,OLD,CARE,oneq,readout,relax,dephase
digits_01,ibm_kingston,4,A020,outer_pairs,1,2,4,0.0030784979030286565,0.0002861178834379392,0.0036279625923648436,-0.0032447193804476435,-0.00035505011205304765,0.0,0.0,rx+rz,2.0,4.0,0.002276234136043834,0.025411977261479958,0.023303899492628833,0.005042465633752678,0.0061222182163648805,0.0042161555377022465,0.005646825968765194
digits_01,ibm_kingston,4,A022,outer_pairs,3,6,10,0.004286722148680326,2.3136142166006916e-05,0.004973367850583968,-0.0012276463472502923,2.9622194288656905e-05,0.0003255208333333333,0.0,rx+rz,6.0,10.0,0.0068287024081315015,0.05113119508917796,0.046183665631670215,0.010084931267505357,0.0061222182163648805,0.009895058915015478,0.013252754824653008
digits_01,ibm_kingston,4,A025,left_ladder,2,4,9,0.003782318389114879,9.302004334711454e-05,0.004452661749542213,-0.005632176497332941,-0.0005687646808817762,0.0,0.0,rx+rz,4.0,9.0,0.0035504655004332765,0.037360419666989095,0.03377751177204233,0.007563698450629017,0.0061222182163648805,0.007165815789893534,0.009375313814721616
digits_01,ibm_kingston,4,A037,outer_pairs,2,4,7,0.003883308005013283,0.0005404066529587766,0.004580138296858012,-0.007047892290639586,-0.000692244530372856,0.0,0.0,ry+rz,4.0,7.0,0.004552468272087668,0.03827158617532897,0.034743782562149536,0.007563698450629017,0.0061222182163648805,0.007055607226358864,0.009449790396709104
digits_01,ibm_kingston,4,A040,left_ladder,1,2,5,0.004997608661222848,0.0014646500298097468,0.005386667806613894,0.0015100092548927708,0.0002147516454492071,0.0,0.0,ry+rz,2.0,5.0,0.0017752327502166382,0.02495639400731002,0.02282076409757523,0.005042465633752678,0.0061222182163648805,0.004271259819469582,0.00560958767777145
digits_01,ibm_kingston,4,A042,left_ladder,3,6,13,0.005890776775575181,0.0013409939169973034,0.00651322736562221,-0.00047476540584989735,0.00034537649933417725,0.0,0.0,ry+rz,6.0,13.0,0.005325698250649914,0.049764445326668155,0.04473425944650941,0.010084931267505357,0.0061222182163648805,0.010060371760317485,0.013141039951671775
digits_01,ibm_kingston,4,A045,right_ladder,2,4,9,0.004906045517094088,0.0006644120379409267,0.00532571327495596,0.0036961438856141136,0.000451576504167379,0.0,0.0,ry+rz,4.0,9.0,0.004931682507135297,0.041870091117772,0.03835378305530543,0.007563698450629017,0.0061222182163648805,0.007032616124933139,0.012703567756243095
digits_01,ibm_kingston,4,A047,right_ladder,4,8,17,0.005287638127909264,0.0013548558055064086,0.005771375818991262,0.000988049465978802,0.00017259509418983873,0.0,0.0,ry+rz,8.0,17.0,0.009863365014270592,0.07118781388791304,0.06484354968750271,0.012606164084381696,0.0061222182163648805,0.012688528400820645,0.023563273971664897
digits_01,ibm_kingston,4,A058,left_ladder,3,6,16,0.004769885635530385,0.0009136687552201935,0.005570911618044342,-0.0008476147803277434,-4.075696925893527e-05,0.0,0.0,rx+ry+rz,6.0,16.0,0.005325698250649914,0.06905489572046637,0.061959654066739187,0.017648629718134374,0.0061222182163648805,0.014190483307454378,0.01867262457413564
digits_01,ibm_kingston,4,A059,left_ladder,4,8,21,0.0064194023891365045,0.0035491528647238675,0.007242207281396517,0.0017199625290787723,8.871107230075392e-05,0.0003255208333333333,0.005208333333333333,rx+ry+rz,8.0,21.0,0.007100931000866553,0.08788907151141152,0.07865819994794954,0.022691095351887052,0.0061222182163648805,0.01846174312692396,0.02428221225190709
